joint1,joint2,joint3,joint4,joint5,joint6,joint7,joint8,joint9,joint10,joint11,joint12
0.654954,0.0236936,1.11502,0.377488,1.24914,-0.378563,-0.228276,0.138656,0.462212,-0.294961,0.8035,0.760861
0.632181,0.0386067,1.18016,0.348078,1.2396,-0.369453,-0.267098,0.138059,0.441971,-0.301182,0.839129,0.788265
0.665419,0.0707026,1.18459,0.391367,1.25883,-0.392678,-0.293035,0.175285,0.424634,-0.333668,0.843957,0.828575
0.641267,0.110602,1.17149,0.385431,1.27337,-0.444411,-0.334032,0.184807,0.470953,-0.354083,0.83369,0.845627
0.627165,0.118512,1.22069,0.356366,1.31836,-0.411421,-0.34728,0.174831,0.514285,-0.352041,0.852124,0.875033
0.616856,0.106032,1.26053,0.384876,1.37642,-0.386546,-0.335212,0.175349,0.505656,-0.38574,0.89254,0.893965
0.629462,0.122698,1.26901,0.432594,1.41633,-0.435828,-0.369033,0.170595,0.490221,-0.395543,0.929463,0.912096
0.63587,0.138346,1.2669,0.477635,1.46862,-0.430579,-0.388596,0.203534,0.515926,-0.377825,0.916067,0.960025
0.634161,0.127024,1.32172,0.494168,1.5132,-0.454836,-0.408599,0.187553,0.540993,-0.377762,0.912394,1.01215
0.632224,0.148983,1.368,0.519713,1.5439,-0.50448,-0.434979,0.207105,0.580477,-0.366185,0.935638,1.0109
0.654972,0.162651,1.42232,0.491115,1.56082,-0.506313,-0.406042,0.196205,0.621902,-0.318473,0.945273,1.02492
0.671749,0.138442,1.45446,0.463015,1.56155,-0.541848,-0.403123,0.203368,0.67872,-0.275256,0.958395,1.05173
0.678886,0.120521,1.50528,0.4146,1.5787,-0.561472,-0.435802,0.18666,0.643855,-0.251967,0.977017,1.02785
0.6712,0.116102,1.53375,0.392272,1.57935,-0.559822,-0.4447,0.211858,0.705007,-0.245472,1.03038,0.992264
0.651923,0.109496,1.55308,0.40436,1.60883,-0.620526,-0.445384,0.194986,0.745772,-0.290284,1.03435,0.969029
0.6289,0.0913078,1.56082,0.453583,1.6315,-0.666619,-0.424146,0.196365,0.781152,-0.323532,1.04817,0.937143
0.654253,0.0735321,1.605,0.493271,1.67595,-0.639776,-0.441777,0.179127,0.769234,-0.295198,1.07983,0.920926
0.657981,0.0757521,1.62114,0.532699,1.72222,-0.682126,-0.438101,0.193122,0.775408,-0.328019,1.09823,0.971606
0.698132,0.10472,1.62316,0.575959,1.74533,-0.698132,-0.471239,0.226893,0.750492,-0.366519,1.09956,0.994838
